GLUE-Math with POSIX standard
Test Suite:
  Euler Beta Function

[Calculation Test]
Polymorphism Pattern:
  Real 2 variables -> Real solution
>>> RMath.beta(a, b)
 (b)         beta(1, b)         beta(3, b)         beta(5, b)         beta(8, b)
-5.0               -0.2  -0.03333333333333               -0.2          -Infinity  
-4.8  -0.20833333333333  -0.03916040100250  -0.32633667502088  -129.792995746943  
-4.6  -0.21739130434782  -0.04645113340765  -0.58063916759569  -90.7248699368263  
-4.4  -0.22727272727272  -0.05570409982174  -1.19365928189457  -100.428064582477  
-4.2  -0.23809523809523  -0.06764069264069  -3.38203463203463  -176.147637085137  
-4.0              -0.25  -0.08333333333333          -Infinity           Infinity  
-3.8  -0.26315789473684  -0.10442773600668   7.83208020050125   194.689493620415  
-3.6  -0.27777777777777  -0.13354700854700   6.67735042735043   122.745412267471  
-3.4  -0.29411764705882  -0.17507002801120   8.75350140056023   122.745412267471  
-3.2            -0.3125  -0.23674242424242   17.7556818181818   194.689493620415  
-3.0  -0.33333333333333  -0.33333333333333          -Infinity          -Infinity  
-2.8  -0.35714285714285  -0.49603174603174  -24.8015873015873  -176.147637085137  
-2.6  -0.38461538461538  -0.80128205128205  -17.1703296703297  -100.428064582476  
-2.4  -0.41666666666666  -1.48809523809524  -18.6011904761905  -90.7248699368267  
-2.2  -0.45454545454545  -3.78787878787878  -31.5656565656565  -129.792995746944  
-2.0               -0.5          -Infinity           Infinity           Infinity  
-1.8  -0.55555555555555   6.94444444444444   31.5656565656566   94.8487276612276  
-1.6             -0.625   5.20833333333333   18.6011904761905   48.3542533174886  
-1.4  -0.71428571428571   5.95238095238095   17.1703296703297   38.8820871157829  
-1.2  -0.83333333333333   10.4166666666667   24.8015873015873   49.2318259729785  
-1.0                 -1          -Infinity          -Infinity          -Infinity  
-0.8              -1.25  -10.4166666666667  -17.7556818181818  -27.5367273855177  
-0.6  -1.66666666666667  -5.95238095238095  -8.75350140056023  -12.0885633293722  
-0.4               -2.5  -5.20833333333333  -6.67735042735043  -8.24771544880242  
-0.2                 -5  -6.94444444444444  -7.83208020050126  -8.68796928934914  
 0.0           Infinity           Infinity           Infinity           Infinity  
 0.2                  5   3.78787878787879   3.38203463203463   3.05963637616864  
 0.4                2.5   1.48809523809524   1.19365928189458   0.98015378346260  
 0.6   1.66666666666667   0.80128205128205   0.58063916759569   0.43409028677907  
 0.8               1.25   0.49603174603174   0.32633667502088   0.22276844331664  
 1.0                  1   0.33333333333333                0.2              0.125  
 1.2   0.83333333333333   0.23674242424242   0.13007825507825   0.07462527746752  
 1.4   0.71428571428571   0.17507002801120   0.08841920606626   0.04667398968869  
 1.6              0.625   0.13354700854700   0.06221133938525   0.03028536884505  
 1.8   0.55555555555555   0.10442773600668   0.04501195517529   0.02025167666514  
 2.0                0.5   0.08333333333333   0.03333333333333   0.01388888888888  
 2.2   0.45454545454545   0.06764069264069   0.02517643646675   0.00973373184359  
 2.4   0.41666666666666   0.05570409982174   0.01934170132699   0.00695144527278  
 2.6   0.38461538461538   0.04645113340765   0.01508153682066   0.00504756147417  
 2.8   0.35714285714285   0.03916040100250   0.01191492931110   0.00371969571400  
 3.0   0.33333333333333   0.03333333333333   0.00952380952380   0.00277777777777  
 3.2             0.3125   0.02861721611721   0.00769280003150   0.00209943235842  
 3.4   0.29411764705882   0.02475737769855   0.00627298421416   0.00160417967833  
 3.6   0.27777777777777   0.02156659765355   0.00515947312285   0.00123808111630  
 3.8   0.26315789473684   0.01890502117362   0.00427715411167   0.00096436555548  
 4.0               0.25   0.01666666666666   0.00357142857142   0.00075757575757  
 4.2   0.23809523809523   0.01477017606049   0.00300206830497   0.00059983781669  
 4.4   0.22727272727272   0.01315235690235   0.00253906503906   0.00047843955318  
 4.6   0.21739130434782   0.01176359872012   0.00215977944677   0.00038423207057  
 4.8   0.20833333333333   0.01056457065584   0.00184695291186   0.00031055839922  
 5.0                0.2   0.00952380952380   0.00158730158730   0.00025252525252  
