GLUE-Math with POSIX standard
Test Suite:
  p-adic Beta Function

  The p-adic Beta Function represents the principal value of the-
  Regularized Incomplete Beta Function I_x(a, b) when 0 <= x <= 1.

Bp(x, 0.5, 0.5)
 (x)    Bp(x, a, b)         Bq(x, a, b)      
 0.00   0.000000000000000   1.000000000000000
 0.05   0.143566293128707   0.856433706871293
 0.10   0.204832764699135   0.795167235300865
 0.15   0.253183311106636   0.746816688893364
 0.20   0.295167235300868   0.704832764699132
 0.25   0.333333333333336   0.666666666666664
 0.30   0.369010119565548   0.630989880434452
 0.35   0.403013315979324   0.596986684020676
 0.40   0.435905783151028   0.564094216848972
 0.45   0.468115719570743   0.531884280429257
 0.50   0.500000000000004   0.499999999999996
 0.55   0.531884280429257   0.468115719570743
 0.60   0.564094216848972   0.435905783151028
 0.65   0.596986684020676   0.403013315979324
 0.70   0.630989880434452   0.369010119565548
 0.75   0.666666666666664   0.333333333333336
 0.80   0.704832764699131   0.295167235300869
 0.85   0.746816688893364   0.253183311106636
 0.90   0.795167235300865   0.204832764699135
 0.95   0.856433706871293   0.143566293128707
 1.00   1.000000000000000   0.000000000000000

Bp(x, 1, 0.5)
 (x)    Bp(x, a, b)         Bq(x, a, b)      
 0.00   0.000000000000000   1.000000000000000
 0.05   0.025320565519104   0.974679434480896
 0.10   0.051316701949486   0.948683298050514
 0.15   0.078045554270711   0.921954445729289
 0.20   0.105572809000084   0.894427190999916
 0.25   0.133974596215561   0.866025403784439
 0.30   0.163339973465924   0.836660026534076
 0.35   0.193774225170145   0.806225774829855
 0.40   0.225403330758516   0.774596669241484
 0.45   0.258380151290433   0.741619848709567
 0.50   0.292893218813452   0.707106781186548
 0.55   0.329179606750062   0.670820393249938
 0.60   0.367544467966325   0.632455532033675
 0.65   0.408392021690040   0.591607978309960
 0.70   0.452277442494835   0.547722557505165
 0.75   0.500000000000001   0.499999999999999
 0.80   0.552786404500043   0.447213595499957
 0.85   0.612701665379259   0.387298334620741
 0.90   0.683772233983163   0.316227766016837
 0.95   0.776393202250021   0.223606797749979
 1.00   1.000000000000000   0.000000000000000

Bp(x, 2, 2)
 (x)    Bp(x, a, b)         Bq(x, a, b)      
 0.00   0.000000000000000   1.000000000000000
 0.05   0.007250000000000   0.992750000000000
 0.10   0.028000000000000   0.972000000000000
 0.15   0.060750000000000   0.939250000000000
 0.20   0.104000000000000   0.896000000000000
 0.25   0.156250000000000   0.843750000000000
 0.30   0.216000000000000   0.784000000000000
 0.35   0.281750000000000   0.718250000000000
 0.40   0.352000000000000   0.648000000000000
 0.45   0.425250000000000   0.574750000000000
 0.50   0.499999999999999   0.500000000000001
 0.55   0.574750000000000   0.425250000000000
 0.60   0.648000000000000   0.352000000000000
 0.65   0.718250000000000   0.281750000000000
 0.70   0.784000000000000   0.216000000000000
 0.75   0.843750000000000   0.156250000000000
 0.80   0.896000000000000   0.104000000000000
 0.85   0.939250000000000   0.060750000000000
 0.90   0.972000000000000   0.028000000000000
 0.95   0.992750000000000   0.007250000000000
 1.00   1.000000000000000   0.000000000000000

Bp(x, 5.5, 5)
 (x)    Bp(x, a, b)         Bq(x, a, b)      
 0.00   0.000000000000000   1.000000000000000
 0.05   0.000009644259708   0.999990355740292
 0.10   0.000364641631714   0.999635358368286
 0.15   0.002811746588927   0.997188253411073
 0.20   0.011250606087624   0.988749393912376
 0.25   0.031288310885429   0.968711689114571
 0.30   0.068859757231175   0.931140242768825
 0.35   0.128486114632770   0.871513885367230
 0.40   0.211740445323308   0.788259554676692
 0.45   0.316352830571149   0.683647169428851
 0.50   0.436190885055978   0.563809114944022
 0.55   0.562138897455955   0.437861102544045
 0.60   0.683700662589471   0.316299337410529
 0.65   0.790991052132117   0.209008947867883
 0.70   0.876678946850248   0.123321053149752
 0.75   0.937415934314431   0.062584065685569
 0.80   0.974345763153439   0.025654236846561
 0.85   0.992452040459712   0.007547959540288
 0.90   0.998778005202788   0.001221994797212
 0.95   0.999953424307462   0.000046575692538
 1.00   1.000000000000000   0.000000000000000

Bp(x, 10, 5)
 (x)    Bp(x, a, b)         Bq(x, a, b)      
 0.00   0.000000000000000   1.000000000000000
 0.05   0.000000000081165   0.999999999918835
 0.10   0.000000068404150   0.999999931595850
 0.15   0.000003215284185   0.999996784715815
 0.20   0.000046049689600   0.999953950310400
 0.25   0.000341873615980   0.999658126384020
 0.30   0.001665663049350   0.998334336950650
 0.35   0.006035342136290   0.993964657863710
 0.40   0.017509541478400   0.982490458521600
 0.45   0.042620140054488   0.957379859945512
 0.50   0.089782714843750   0.910217285156250
 0.55   0.167186126126190   0.832813873873810
 0.60   0.279256987238400   0.720743012761600
 0.65   0.422722988938945   0.577277011061055
 0.70   0.584201186219350   0.415798813780650
 0.75   0.741534601897001   0.258465398102999
 0.80   0.870160374169600   0.129839625830400
 0.85   0.953259713492643   0.046740286507357
 0.90   0.990769787544150   0.009230212455850
 0.95   0.999572609529122   0.000427390470878
 1.00   1.000000000000000   0.000000000000000

