GLUE-Math with POSIX standard
Test Suite:
  Cosine Integral

 x     Ci(x)
 0  -inf
 1   0.3374039229
 2   0.4229808288
 3   0.1196297860
 4  -0.1409816979
 5  -0.1900297497
 6  -0.0680572439
 7   0.0766952785
 8   0.1224338825
 9   0.0553475313
10  -0.0454564330
11  -0.0895631355
12  -0.0497800069
13   0.0267641256
14   0.0693963559
15   0.0462786777
16  -0.0142001901
17  -0.0552426823
18  -0.0434751028
19   0.0051503711
20   0.0444198209
21   0.0408905002
22   0.0016406919
23  -0.0356598604
24  -0.0383330156
25  -0.0068485972
26   0.0282951510
27   0.0357232177
28   0.0108695343
29  -0.0219469730
30  -0.0330324173
31  -0.0139527171
32   0.0163888234
33   0.0302574342
34   0.0162649164
35  -0.0114798564
36  -0.0274089958
37  -0.0179244197
38   0.0071297618
39   0.0245058334
40   0.0190200079
41  -0.0032789946
42  -0.0215713794
43  -0.0196220686
44  -0.0001129602
45   0.0186317437
46   0.0197893379
47   0.0030748622
48  -0.0157143603
49  -0.0195730908
50  -0.0056283863
