GLUE-Math with POSIX standard
Test Suite:
  Cosine and Arccosine

for long double
  x    自家製acos         左のcos
-1.00   3.14159265358979324  -1
-0.90   2.69056584179353081  -0.9
-0.80   2.49809154479650885  -0.8
-0.70   2.34619382340564968  -0.7
-0.60   2.21429743558818101  -0.6
-0.50   2.09439510239319549  -0.5
-0.40   1.98231317286238464  -0.4
-0.30   1.87548898081029413  -0.3
-0.20   1.77215424758522741  -0.2
-0.10   1.67096374795645642  -0.1
 0.00   1.57079632679489662   0
 0.10   1.47062890563333682   0.1
 0.20   1.36943840600456583   0.2
 0.30   1.26610367277949911   0.3
 0.40   1.15927948072740860   0.4
 0.50   1.04719755119659775   0.5
 0.60   0.92729521800161223   0.6
 0.70   0.79539883018414356   0.7
 0.80   0.64350110879328439   0.8
 0.90   0.45102681179626243   0.9
 1.00   0.00000000000000000   1

for double
  x    自家製acos      左のcos
-1.00   3.14159265358979  -1
-0.90   2.69056584179353  -0.9
-0.80   2.49809154479651  -0.8
-0.70   2.34619382340565  -0.7
-0.60   2.21429743558818  -0.6
-0.50   2.09439510239320  -0.5
-0.40   1.98231317286238  -0.4
-0.30   1.87548898081029  -0.3
-0.20   1.77215424758523  -0.2
-0.10   1.67096374795646  -0.1
 0.00   1.57079632679490   0
 0.10   1.47062890563334   0.1
 0.20   1.36943840600457   0.2
 0.30   1.26610367277950   0.3
 0.40   1.15927948072741   0.4
 0.50   1.04719755119660   0.5
 0.60   0.92729521800161   0.6
 0.70   0.79539883018414   0.7
 0.80   0.64350110879328   0.8
 0.90   0.45102681179626   0.9
 1.00   0.00000000000000   1

for float
  x    自家製acos  左のcos
-1.00   3.14159  -1
-0.90   2.69057  -0.9
-0.80   2.49809  -0.8
-0.70   2.34619  -0.7
-0.60   2.21430  -0.6
-0.50   2.09440  -0.5
-0.40   1.98231  -0.4
-0.30   1.87549  -0.3
-0.20   1.77215  -0.2
-0.10   1.67096  -0.1
 0.00   1.57080   0
 0.10   1.47063   0.1
 0.20   1.36944   0.2
 0.30   1.26610   0.3
 0.40   1.15928   0.4
 0.50   1.04720   0.5
 0.60   0.92730   0.6
 0.70   0.79540   0.7
 0.80   0.64350   0.8
 0.90   0.45103   0.9
 1.00   0.00000   1
