GLUE-Math with POSIX standard
Test Suite:
  Hyperbolic Cosine and Hyperbolic Arccosine

for long double
  x    自家製acosh        左のcosh
 1.00   0.00000000000000000   1
 1.50   0.96242365011920689   1.5
 2.00   1.31695789692481671   2
 2.50   1.56679923697241108   2.5
 3.00   1.76274717403908605   3
 3.50   1.92484730023841379   3.5
 4.00   2.06343706889556055   4
 4.50   2.18464379160510873   4.5
 5.00   2.29243166956117769   5

for double
  x    自家製acosh     左のcosh
 1.00   0.00000000000000   1
 1.50   0.96242365011921   1.5
 2.00   1.31695789692482   2
 2.50   1.56679923697241   2.5
 3.00   1.76274717403909   3
 3.50   1.92484730023841   3.5
 4.00   2.06343706889556   4
 4.50   2.18464379160511   4.5
 5.00   2.29243166956118   5

for float
  x    自家製acosh  左のcosh
 1.00   0.00000   1
 1.50   0.96242   1.5
 2.00   1.31696   2
 2.50   1.56680   2.5
 3.00   1.76275   3
 3.50   1.92485   3.5
 4.00   2.06344   4
 4.50   2.18464   4.5
 5.00   2.29243   5
