GLUE-Math with POSIX standard
Test Suite:
  Cotangent and Arccotangent

for long double
  x    自家製acot         左のcot
-2.00  -0.46364760900080612  -2
-1.90  -0.48447792903702320  -1.9
-1.80  -0.50709850439233696  -1.8
-1.70  -0.53172406725880559  -1.7
-1.60  -0.55859931534356244  -1.6
-1.50  -0.58800260354756755  -1.5
-1.40  -0.62024948598282147  -1.4
-1.30  -0.65569562624153620  -1.3
-1.20  -0.69473827619670320  -1.2
-1.10  -0.73781506012046491  -1.1
-1.00  -0.78539816339744831  -1
-0.90  -0.83798122500839003  -0.9
-0.80  -0.89605538457134396  -0.8
-0.70  -0.96007036240568800  -0.7
-0.60  -1.03037682652431246  -0.6
-0.50  -1.10714871779409050  -0.5
-0.40  -1.19028994968253173  -0.4
-0.30  -1.27933953231702953  -0.3
-0.20  -1.37340076694501586  -0.2
-0.10  -1.47112767430373459  -0.1
 0.00   1.57079632679489662   0
 0.10   1.47112767430373459   0.1
 0.20   1.37340076694501586   0.2
 0.30   1.27933953231702953   0.3
 0.40   1.19028994968253173   0.4
 0.50   1.10714871779409050   0.5
 0.60   1.03037682652431246   0.6
 0.70   0.96007036240568800   0.7
 0.80   0.89605538457134396   0.8
 0.90   0.83798122500839003   0.9
 1.00   0.78539816339744831   1
 1.10   0.73781506012046491   1.1
 1.20   0.69473827619670320   1.2
 1.30   0.65569562624153620   1.3
 1.40   0.62024948598282147   1.4
 1.50   0.58800260354756755   1.5
 1.60   0.55859931534356244   1.6
 1.70   0.53172406725880559   1.7
 1.80   0.50709850439233696   1.8
 1.90   0.48447792903702320   1.9
 2.00   0.46364760900080612   2

for double
  x    自家製acot      左のcot
-2.00  -0.46364760900081  -2
-1.90  -0.48447792903702  -1.9
-1.80  -0.50709850439234  -1.8
-1.70  -0.53172406725881  -1.7
-1.60  -0.55859931534356  -1.6
-1.50  -0.58800260354757  -1.5
-1.40  -0.62024948598282  -1.4
-1.30  -0.65569562624154  -1.3
-1.20  -0.69473827619670  -1.2
-1.10  -0.73781506012046  -1.1
-1.00  -0.78539816339745  -1
-0.90  -0.83798122500839  -0.9
-0.80  -0.89605538457134  -0.8
-0.70  -0.96007036240569  -0.7
-0.60  -1.03037682652431  -0.6
-0.50  -1.10714871779409  -0.5
-0.40  -1.19028994968253  -0.4
-0.30  -1.27933953231703  -0.3
-0.20  -1.37340076694502  -0.2
-0.10  -1.47112767430373  -0.1
 0.00   1.57079632679490   0
 0.10   1.47112767430373   0.1
 0.20   1.37340076694502   0.2
 0.30   1.27933953231703   0.3
 0.40   1.19028994968253   0.4
 0.50   1.10714871779409   0.5
 0.60   1.03037682652431   0.6
 0.70   0.96007036240569   0.7
 0.80   0.89605538457134   0.8
 0.90   0.83798122500839   0.9
 1.00   0.78539816339745   1
 1.10   0.73781506012046   1.1
 1.20   0.69473827619670   1.2
 1.30   0.65569562624154   1.3
 1.40   0.62024948598282   1.4
 1.50   0.58800260354757   1.5
 1.60   0.55859931534356   1.6
 1.70   0.53172406725881   1.7
 1.80   0.50709850439234   1.8
 1.90   0.48447792903702   1.9
 2.00   0.46364760900081   2

for float
  x    自家製acot  左のcot
-2.00  -0.46365  -2
-1.90  -0.48448  -1.9
-1.80  -0.50710  -1.8
-1.70  -0.53172  -1.7
-1.60  -0.55860  -1.6
-1.50  -0.58800  -1.5
-1.40  -0.62025  -1.4
-1.30  -0.65570  -1.3
-1.20  -0.69474  -1.2
-1.10  -0.73782  -1.1
-1.00  -0.78540  -1
-0.90  -0.83798  -0.9
-0.80  -0.89606  -0.8
-0.70  -0.96007  -0.7
-0.60  -1.03038  -0.6
-0.50  -1.10715  -0.5
-0.40  -1.19029  -0.4
-0.30  -1.27934  -0.3
-0.20  -1.37340  -0.2
-0.10  -1.47113  -0.1
 0.00   1.57080   0
 0.10   1.47113   0.1
 0.20   1.37340   0.2
 0.30   1.27934   0.3
 0.40   1.19029   0.4
 0.50   1.10715   0.5
 0.60   1.03038   0.6
 0.70   0.96007   0.7
 0.80   0.89606   0.8
 0.90   0.83798   0.9
 1.00   0.78540   1
 1.10   0.73782   1.1
 1.20   0.69474   1.2
 1.30   0.65570   1.3
 1.40   0.62025   1.4
 1.50   0.58800   1.5
 1.60   0.55860   1.6
 1.70   0.53172   1.7
 1.80   0.50710   1.8
 1.90   0.48448   1.9
 2.00   0.46365   2
