GLUE-Math with POSIX standard
Test Suite:
  Hyperbolic Cotangent and Hyperbolic Arccotangent

for long double
  x    自家製acoth        左のcoth
-4.00  -0.25541281188299534  -4
-3.50  -0.29389333245105950  -3.5
-3.00  -0.34657359027997265  -3
-2.50  -0.42364893019360181  -2.5
-2.00  -0.54930614433405485  -2
-1.50  -0.80471895621705019  -1.5
-1.00                  -inf  -1
 1.00                   inf   1
 1.50   0.80471895621705019   1.5
 2.00   0.54930614433405485   2
 2.50   0.42364893019360181   2.5
 3.00   0.34657359027997265   3
 3.50   0.29389333245105950   3.5
 4.00   0.25541281188299534   4

for double
  x    自家製acoth     左のcoth
-4.00  -0.25541281188300  -4
-3.50  -0.29389333245106  -3.5
-3.00  -0.34657359027997  -3
-2.50  -0.42364893019360  -2.5
-2.00  -0.54930614433405  -2
-1.50  -0.80471895621705  -1.5
-1.00               -inf  -1
 1.00                inf   1
 1.50   0.80471895621705   1.5
 2.00   0.54930614433405   2
 2.50   0.42364893019360   2.5
 3.00   0.34657359027997   3
 3.50   0.29389333245106   3.5
 4.00   0.25541281188300   4

for float
  x    自家製acoth  左のcoth
-4.00  -0.25541  -4
-3.50  -0.29389  -3.5
-3.00  -0.34657  -3
-2.50  -0.42365  -2.5
-2.00  -0.54931  -2
-1.50  -0.80472  -1.5
-1.00      -inf  -1
 1.00       inf   1
 1.50   0.80472   1.5
 2.00   0.54931   2
 2.50   0.42365   2.5
 3.00   0.34657   3
 3.50   0.29389   3.5
 4.00   0.25541   4
