GLUE-Math with POSIX standard
Test Suite:
  Cosecant and Arccosecant

for long double
  x    自家製acsc         左のcsc
-9.00  -0.11134101434096389  -9
-8.50  -0.11792015202524925  -8.5
-8.00  -0.12532783116806540  -8
-7.50  -0.13373158940994153  -7.5
-7.00  -0.14334756890536536  -7
-6.50  -0.15445959848418410  -6.5
-6.00  -0.16744807921968933  -6
-5.50  -0.18283513699290874  -5.5
-5.00  -0.20135792079033079  -5
-4.50  -0.22409309230137085  -4.5
-4.00  -0.25268025514207865  -4
-3.50  -0.28975170143604747  -3.5
-3.00  -0.33983690945412194  -3
-2.50  -0.41151684606748802  -2.5
-2.00  -0.52359877559829887  -2
-1.50  -0.72972765622696636  -1.5
-1.00  -1.57079632679489662  -1
 1.00   1.57079632679489662   1
 1.50   0.72972765622696636   1.5
 2.00   0.52359877559829887   2
 2.50   0.41151684606748802   2.5
 3.00   0.33983690945412194   3
 3.50   0.28975170143604747   3.5
 4.00   0.25268025514207865   4
 4.50   0.22409309230137085   4.5
 5.00   0.20135792079033079   5
 5.50   0.18283513699290874   5.5
 6.00   0.16744807921968933   6
 6.50   0.15445959848418410   6.5
 7.00   0.14334756890536536   7
 7.50   0.13373158940994153   7.5
 8.00   0.12532783116806540   8
 8.50   0.11792015202524925   8.5
 9.00   0.11134101434096389   9

for double
  x    自家製acsc      左のcsc
-9.00  -0.11134101434096  -9
-8.50  -0.11792015202525  -8.5
-8.00  -0.12532783116807  -8
-7.50  -0.13373158940994  -7.5
-7.00  -0.14334756890537  -7
-6.50  -0.15445959848418  -6.5
-6.00  -0.16744807921969  -6
-5.50  -0.18283513699291  -5.5
-5.00  -0.20135792079033  -5
-4.50  -0.22409309230137  -4.5
-4.00  -0.25268025514208  -4
-3.50  -0.28975170143605  -3.5
-3.00  -0.33983690945412  -3
-2.50  -0.41151684606749  -2.5
-2.00  -0.52359877559830  -2
-1.50  -0.72972765622697  -1.5
-1.00  -1.57079632679490  -1
 1.00   1.57079632679490   1
 1.50   0.72972765622697   1.5
 2.00   0.52359877559830   2
 2.50   0.41151684606749   2.5
 3.00   0.33983690945412   3
 3.50   0.28975170143605   3.5
 4.00   0.25268025514208   4
 4.50   0.22409309230137   4.5
 5.00   0.20135792079033   5
 5.50   0.18283513699291   5.5
 6.00   0.16744807921969   6
 6.50   0.15445959848418   6.5
 7.00   0.14334756890537   7
 7.50   0.13373158940994   7.5
 8.00   0.12532783116807   8
 8.50   0.11792015202525   8.5
 9.00   0.11134101434096   9

for float
  x    自家製acsc  左のcsc
-9.00  -0.11134  -9
-8.50  -0.11792  -8.5
-8.00  -0.12533  -8
-7.50  -0.13373  -7.5
-7.00  -0.14335  -7
-6.50  -0.15446  -6.5
-6.00  -0.16745  -6
-5.50  -0.18284  -5.5
-5.00  -0.20136  -5
-4.50  -0.22409  -4.5
-4.00  -0.25268  -4
-3.50  -0.28975  -3.5
-3.00  -0.33984  -3
-2.50  -0.41152  -2.5
-2.00  -0.52360  -2
-1.50  -0.72973  -1.5
-1.00  -1.57080  -1
 1.00   1.57080   1
 1.50   0.72973   1.5
 2.00   0.52360   2
 2.50   0.41152   2.5
 3.00   0.33984   3
 3.50   0.28975   3.5
 4.00   0.25268   4
 4.50   0.22409   4.5
 5.00   0.20136   5
 5.50   0.18284   5.5
 6.00   0.16745   6
 6.50   0.15446   6.5
 7.00   0.14335   7
 7.50   0.13373   7.5
 8.00   0.12533   8
 8.50   0.11792   8.5
 9.00   0.11134   9
