GLUE-Math with POSIX standard
Test Suite:
  Euler Gamma Function

Polymorphism Pattern: Real variable -> Real solution
>>> RMath.gamma(x)
  (x)   float     double             long double         
 -5.0  -Infinit  -Infinity          -Infinity            
 -4.8  -0.06242  -0.06242336135476  -0.06242336135475948 
 -4.6  -0.05366  -0.05366459629507  -0.05366459629507909 
 -4.4  -0.07406  -0.07406617293003  -0.07406617293003645 
 -4.2  -0.16406  -0.16406105047761  -0.16406105047761419 
 -4.0   Infinit   Infinity           Infinity            
 -3.8   0.29963   0.29963213450284   0.29963213450284555 
 -3.6   0.24685   0.24685714295736   0.24685714295736379 
 -3.4   0.32589   0.32589116089216   0.32589116089216076 
 -3.2   0.68905   0.68905641200597   0.68905641200597951 
 -3.0  -Infinit  -Infinity          -Infinity            
 -2.8  -1.13860  -1.13860211111081  -1.13860211111081321 
 -2.6  -0.88868  -0.88868571464650  -0.88868571464650970 
 -2.4  -1.10803  -1.10802994703334  -1.10802994703334648 
 -2.2  -2.20498  -2.20498051841913  -2.20498051841913413 
 -2.0   Infinit   Infinity           Infinity            
 -1.8   3.18808   3.18808591111027   3.18808591111027969 
 -1.6   2.31058   2.31058285808092   2.31058285808092532 
 -1.4   2.65927   2.65927187288003   2.65927187288003127 
 -1.2   4.85095   4.85095714052209   4.85095714052209972 
 -1.0  -Infinit  -Infinity          -Infinity            
 -0.8  -5.73855  -5.73855463999850  -5.73855463999850433 
 -0.6  -3.69693  -3.69693257292948  -3.69693257292948035 
 -0.4  -3.72298  -3.72298062203204  -3.72298062203204284 
 -0.2  -5.82114  -5.82114856862651  -5.82114856862651692 
  0.0   Infinit   Infinity           Infinity            
  0.2   4.59084   4.59084371199880   4.59084371199880256 
  0.4   2.21815   2.21815954375768   2.21815954375768802 
  0.6   1.48919   1.48919224881281   1.48919224881281712 
  0.8   1.16423   1.16422971372530   1.16422971372530330 
  1.0   1.00000   1.00000000000000   1.00000000000000000 
  1.2   0.91816   0.91816874239976   0.91816874239976057 
  1.4   0.88726   0.88726381750307   0.88726381750307526 
  1.6   0.89351   0.89351534928768   0.89351534928769025 
  1.8   0.93138   0.93138377098024   0.93138377098024269 
  2.0   1.00000   1.00000000000000   1.00000000000000000 
  2.2   1.10180   1.10180249087971   1.10180249087971278 
  2.4   1.24216   1.24216934450430   1.24216934450430529 
  2.6   1.42962   1.42962455886030   1.42962455886030448 
  2.8   1.67649   1.67649078776443   1.67649078776443658 
  3.0   2.00000   2.00000000000000   2.00000000000000000 
  3.2   2.42396   2.42396547993536   2.42396547993536832 
  3.4   2.98120   2.98120642681033   2.98120642681033259 
  3.6   3.71702   3.71702385303677   3.71702385303679178 
  3.8   4.69417   4.69417420574041   4.69417420574042213 
  4.0   6.00000   6.00000000000000   6.00000000000000000 
  4.2   7.75668   7.75668953579317   7.75668953579317907 
  4.4   10.1361   10.1361018511551   10.1361018511551367 
  4.6   13.3812   13.3812858709324   13.3812858709324423 
  4.8   17.8378   17.8378619818135   17.8378619818136032 
  5.0   24.0000   24.0000000000000   24.0000000000000000 
