GLUE-Math with POSIX standard
Test Suite:
  p-adic Gamma Function

  The p-adic Gamma Function represents the principal value of the-
  Regularized Incomplete Gamma Function P(a, x) and Q(a, x)

Gamma_p(0.5, x)
 (x)    Gamma_p(a, x)       Gamma_q(a, x)    
 0.00   0.000000000000000   1.000000000000000
 0.05   0.248170365954152   0.751829634045848
 0.10   0.345279153981424   0.654720846018576
 0.15   0.416117579229636   0.583882420770364
 0.20   0.472910743134464   0.527089256865537
 0.25   0.520499877813048   0.479500122186952
 0.30   0.561421973919002   0.438578026080998
 0.35   0.597216305753526   0.402783694246474
 0.40   0.628906630477304   0.371093369522696
 0.45   0.657218288852091   0.342781711147909
 0.50   0.682689492137088   0.317310507862912
 0.55   0.705733895695039   0.294266104304961
 0.60   0.726678321707704   0.273321678292296
 0.65   0.745786776396038   0.254213223603962
 0.70   0.763276429362145   0.236723570637855
 0.75   0.779328638080156   0.220671361919844
 0.80   0.794096789267934   0.205903210732066
 0.85   0.807712022888483   0.192287977111517
 0.90   0.820287505121003   0.179712494878997
 0.95   0.831921680965032   0.168078319034968
 1.00   0.842700792949717   0.157299207050283

Gamma_p(1, x)
 (x)    Gamma_p(a, x)       Gamma_q(a, x)    
 0.00   0.000000000000000   1.000000000000000
 0.05   0.048770575499286   0.951229424500714
 0.10   0.095162581964040   0.904837418035960
 0.15   0.139292023574942   0.860707976425058
 0.20   0.181269246922018   0.818730753077982
 0.25   0.221199216928595   0.778800783071405
 0.30   0.259181779318282   0.740818220681718
 0.35   0.295311910281286   0.704688089718714
 0.40   0.329679953964361   0.670320046035639
 0.45   0.362371848378227   0.637628151621773
 0.50   0.393469340287366   0.606530659712634
 0.55   0.423050189619513   0.576949810380487
 0.60   0.451188363905973   0.548811636094027
 0.65   0.477954223238984   0.522045776761016
 0.70   0.503414696208591   0.496585303791409
 0.75   0.527633447258985   0.472366552741015
 0.80   0.550671035882778   0.449328964117222
 0.85   0.572585068051273   0.427414931948727
 0.90   0.593430340259401   0.406569659740599
 0.95   0.613258976545499   0.386741023454501
 1.00   0.632120558828558   0.367879441171442

Gamma_p(2, x)
 (x)    Gamma_p(a, x)       Gamma_q(a, x)    
 0.00   0.000000000000000   1.000000000000000
 0.05   0.001209104274250   0.998790895725750
 0.10   0.004678840160444   0.995321159839555
 0.15   0.010185827111184   0.989814172888816
 0.20   0.017523096306422   0.982476903693578
 0.25   0.026499021160744   0.973500978839256
 0.30   0.036936313113767   0.963063686886233
 0.35   0.048671078879737   0.951328921120263
 0.40   0.061551935550105   0.938448064449895
 0.45   0.075439180148429   0.924560819851571
 0.50   0.090204010431050   0.909795989568950
 0.55   0.105727793910246   0.894272206089754
 0.60   0.121901382249558   0.878098617750442
 0.65   0.138624468344323   0.861375531655677
 0.70   0.155804983554604   0.844195016445396
 0.75   0.173358532703224   0.826641467296776
 0.80   0.191207864589001   0.808792135410999
 0.85   0.209282375894856   0.790717624105144
 0.90   0.227517646492862   0.772482353507138
 0.95   0.245855004263723   0.754144995736277
 1.00   0.264241117657115   0.735758882342885

Gamma_p(5.5, x)
 (x)    Gamma_p(a, x)       Gamma_q(a, x)    
 0.00   0.000000000000000   1.000000000000000
 0.05   0.000000000232676   0.999999999767324
 0.10   0.000000010094166   0.999999989905834
 0.15   0.000000090000718   0.999999909999282
 0.20   0.000000419857525   0.999999580142475
 0.25   0.000001373470694   0.999998626529306
 0.30   0.000003589618226   0.999996410381774
 0.35   0.000008035398191   0.999991964601809
 0.40   0.000016059604944   0.999983940395056
 0.45   0.000029435104895   0.999970564895105
 0.50   0.000050389948688   0.999949610051312
 0.55   0.000081627454361   0.999918372545639
 0.60   0.000126335821772   0.999873664178228
 0.65   0.000188188047554   0.999811811952446
 0.70   0.000271333036964   0.999728666963036
 0.75   0.000380378877536   0.999619621122464
 0.80   0.000520369265576   0.999479630734424
 0.85   0.000696754072024   0.999303245927975
 0.90   0.000915355007611   0.999084644992389
 0.95   0.001182327304990   0.998817672695010
 1.00   0.001504118282584   0.998495881717416

Gamma_p(10, x)
 (x)    Gamma_p(a, x)       Gamma_q(a, x)    
 0.00   0.000000000000000   1.000000000000000
 0.05   0.000000000000000   1.000000000000000
 0.10   0.000000000000000   1.000000000000000
 0.15   0.000000000000001   0.999999999999999
 0.20   0.000000000000024   0.999999999999976
 0.25   0.000000000000209   0.999999999999791
 0.30   0.000000000001239   0.999999999998761
 0.35   0.000000000005532   0.999999999994468
 0.40   0.000000000020098   0.999999999979902
 0.45   0.000000000062374   0.999999999937626
 0.50   0.000000000170967   0.999999999829033
 0.55   0.000000000423818   0.999999999576182
 0.60   0.000000000966972   0.999999999033028
 0.65   0.000000002057745   0.999999997942255
 0.70   0.000000004126701   0.999999995873298
 0.75   0.000000007863361   0.999999992136639
 0.80   0.000000014331002   0.999999985668998
 0.85   0.000000025116282   0.999999974883718
 0.90   0.000000042519575   0.999999957480425
 0.95   0.000000069792057   0.999999930207943
 1.00   0.000000111425478   0.999999888574522

