GLUE-Math with POSIX standard
Test Suite:
  Regularized Incomplete Gamma Function

  a = 1
  (x)             P(a,x)             Q(a,x)
  0.0  0.000000000000000  1.000000000000000
  0.2  0.181269246922018  0.818730753077982
  0.4  0.329679953964361  0.670320046035639
  0.6  0.451188363905974  0.548811636094027
  0.8  0.550671035882778  0.449328964117222
  1.0  0.632120558828558  0.367879441171442
  1.2  0.698805788087799  0.301194211912201
  1.4  0.753403036058394  0.246596963941606
  1.6  0.798103482005345  0.201896517994655
  1.8  0.834701111778413  0.165298888221587
  2.0  0.864664716763387  0.135335283236613
  2.2  0.889196841637666  0.110803158362334
  2.4  0.909282046710588  0.090717953289412
  2.6  0.925726421785666  0.074273578214334
  2.8  0.939189937374782  0.060810062625218
  3.0  0.950212931632136  0.049787068367864
  3.2  0.959237796021634  0.040762203978366
  3.4  0.966626730039674  0.033373269960326
  3.6  0.972676277552707  0.027323722447293
  3.8  0.977629228143834  0.022370771856166
  4.0  0.981684361111266  0.018315638888734
  4.2  0.985004423179522  0.014995576820478
  4.4  0.987722660096932  0.012277339903068
  4.6  0.989948164255366  0.010051835744634
  4.8  0.991770252950980  0.008229747049020
  5.0  0.993262053000915  0.006737946999085

  a = 2.5
  (x)             P(a,x)             Q(a,x)
  0.0  0.000000000000000  1.000000000000000
  0.2  0.004670406764130  0.995329593235870
  0.4  0.022966656243074  0.977033343756926
  0.6  0.055122634997878  0.944877365002122
  0.8  0.098750655498727  0.901249344501273
  1.0  0.150854963915391  0.849145036084609
  1.2  0.208525879405676  0.791474120594324
  1.4  0.269213513411242  0.730786486588758
  1.6  0.330817097966758  0.669182902033242
  1.8  0.391686707918532  0.608313292081468
  2.0  0.450584048647221  0.549415951352779
  2.2  0.506626476441163  0.493373523558837
  2.4  0.559227031913339  0.440772968086661
  2.6  0.608037108400368  0.391962891599632
  2.8  0.652894931718286  0.347105068281714
  3.0  0.693781081586723  0.306218918413277
  3.2  0.730781201012898  0.269218798987102
  3.4  0.764055462305480  0.235944537694520
  3.6  0.793814080290444  0.206185919709556
  3.8  0.820298061003999  0.179701938996001
  4.0  0.843764372422277  0.156235627577723
  4.2  0.864474776622470  0.135525223377530
  4.4  0.882687642076143  0.117312357923857
  4.6  0.898652143669893  0.101347856330107
  4.8  0.912604346679418  0.087395653320582
  5.0  0.924764753853488  0.075235246146512

  a = 5
  (x)             P(a,x)             Q(a,x)
  0.0  0.000000000000000  1.000000000000000
  0.2  0.000002258190553  0.999997741809447
  0.4  0.000061243327102  0.999938756672898
  0.6  0.000394486018340  0.999605513981660
  0.8  0.001411310145887  0.998588689854113
  1.0  0.003659846827344  0.996340153172656
  1.2  0.007745788276441  0.992254211723559
  1.4  0.014253296339822  0.985746703660178
  1.6  0.023682278049312  0.976317721950688
  1.8  0.036406661001083  0.963593338998917
  2.0  0.052653017343711  0.947346982656289
  2.2  0.072496308857800  0.927503691142200
  2.4  0.095868590336399  0.904131409663601
  2.6  0.122576511122788  0.877423488877212
  2.8  0.152323943021162  0.847676056978838
  3.0  0.184736755476228  0.815263244523772
  3.2  0.219387488932696  0.780612511067304
  3.4  0.255818352693344  0.744181647306656
  3.6  0.293561550358719  0.706438449641281
  3.8  0.332156399469145  0.667843600530855
  4.0  0.371163064820126  0.628836935179874
  4.2  0.410172978689422  0.589827021310578
  4.4  0.448816191455683  0.551183808544317
  4.6  0.486765999204285  0.513234000795715
  4.8  0.523741246374391  0.476258753625609
  5.0  0.559506714934787  0.440493285065213

