GLUE-Math with POSIX standard
Test Suite:
  Logarithm of Euler Beta Function

 (b)    logbeta(1, b)    logbeta(3, b)    logbeta(5, b)    logbeta(8, b)
-5.0  -1.609437912434  -3.401197381662  -1.609437912434              inf  
-4.8  -1.568615917913  -3.240089221267  -1.119825685067   4.865940840926  
-4.6  -1.526056303495  -3.069354413424  -0.543625769116   4.507831519500  
-4.4  -1.481604540924  -2.887701529340   0.177023615700   4.609441695910  
-4.2  -1.435084525289  -2.693545514899   1.218477490528   5.171322490477  
-4.0  -1.386294361119  -2.484906649788              inf              inf  
-3.8  -1.335001066732  -2.259259968255   2.058228145280   5.271405949034  
-3.6  -1.280933845462  -2.013301739175   1.898721266252   4.810112391373  
-3.4  -1.223775431622  -1.742569225037   2.169453780390   4.810112391373  
-3.2  -1.163150809805  -1.440782546403   2.876705567132   5.271405949034  
-3.0  -1.098612288668  -1.098612288668              inf              inf  
-2.8  -1.029619417181  -0.701115350209   3.210907655219   5.171322490477  
-2.6  -0.955511445027  -0.221542269947   2.843182875093   4.609441695910  
-2.4  -0.875468737353   0.397496938458   2.923225582767   4.507831519500  
-2.2  -0.788457360364   1.331806175835   3.452069712035   4.865940840926  
-2.0  -0.693147180559              inf              inf              inf  
-1.8  -0.587786664902   1.937941979406   3.452069712035   4.552283282071  
-1.6  -0.470003629245   1.650259906954   2.923225582767   3.878554187368  
-1.4  -0.336472236621   1.783791299578   2.843182875093   3.660533659112  
-1.2  -0.182321556793   2.343407087514   3.210907655219   3.896540283737  
-1.0               -0              inf              inf              inf  
-0.8   0.223143551314   2.343407087514   2.876705567132   3.315520654922  
-0.6   0.510825623765   1.783791299578   2.169453780390   2.492259826248  
-0.4   0.916290731874   1.650259906954   1.898721266252   2.109936246701  
-0.2   1.609437912434   1.937941979406   2.058228145280   2.161939228349  
 0.0              inf              inf              inf              inf  
 0.2   1.609437912434   1.331806175835   1.218477490528   1.118296077585  
 0.4   0.916290731874   0.397496938458   0.177023615700  -0.020045797727  
 0.6   0.510825623765  -0.221542269947  -0.543625769116  -0.834502732464  
 0.8   0.223143551314  -0.701115350209  -1.119825685067  -1.501622417779  
 1.0               -0  -1.098612288668  -1.609437912434  -2.079441541679  
 1.2  -0.182321556793  -1.440782546403  -2.039619047492  -2.595275989118  
 1.4  -0.336472236621  -1.742569225037  -2.425666069743  -3.064568235451  
 1.6  -0.470003629245  -2.013301739175  -2.777217990623  -3.497090559490  
 1.8  -0.587786664902  -2.259259968255  -3.100827153933  -3.899517690578  
 2.0  -0.693147180559  -2.484906649788  -3.401197381662  -4.276666119016  
 2.2  -0.788457360364  -2.693545514899  -3.681846782749  -4.632157916379  
 2.4  -0.875468737353  -2.887701529340  -3.945491823488  -4.968805688106  
 2.6  -0.955511445027  -3.069354413424  -4.194284010410  -5.288850028718  
 2.8  -1.029619417181  -3.240089221267  -4.429963101213  -5.594113411352  
 3.0  -1.098612288668  -3.401197381662  -4.653960350157  -5.886104031450  
 3.2  -1.163150809805  -3.553746780122  -4.867470448407  -6.166088276305  
 3.4  -1.223775431622  -3.698631745556  -5.071503086344  -6.435142756899  
 3.6  -1.280933845462  -3.836609566138  -5.266920812674  -6.694192584808  
 3.8  -1.335001066732  -3.968327721638  -5.454467417728  -6.944040128301  
 4.0  -1.386294361119  -4.094344562222  -5.634789603169  -7.185387015580  
 4.2  -1.435084525289  -4.215145262367  -5.808453792872  -7.418851244800  
 4.4  -1.481604540924  -4.331154304300  -5.975959360571  -7.644980680677  
 4.6  -1.526056303495  -4.442745369708  -6.137749170472  -7.864263837459  
 4.8  -1.568615917913  -4.550249267088  -6.294218072480  -8.077138593040  
 5.0  -1.609437912434  -4.653960350157  -6.445719819385  -8.283999304248  
