GLUE-Math with POSIX standard
Test Suite:
  Logarithm of Euler Gamma Function

Polymorphism Pattern: Real variable -> Complex solution (without Imaginary number)
>>> RMath.lgamma(x)
  (x)   float     double             long double         
 -5.0   Infinity  Infinity           Infinity            
 -4.8  -2.773815 -2.773815692984469 -2.773815692984469405
 -4.6  -2.925002 -2.925001781762512 -2.925001781762510895
 -4.4  -2.602797 -2.602796356578056 -2.602796356578054674
 -4.2  -1.807516 -1.807516661419291 -1.807516661419290492
 -4.0   Infinity  Infinity           Infinity            
 -3.8  -1.205200 -1.205199775070623 -1.205199775070624054
 -3.6  -1.398945 -1.398945478267462 -1.398945478267461819
 -3.4  -1.121192 -1.121191815653839 -1.121191815653838122
 -3.2  -0.372432 -0.372432136129968 -0.372432136129968025
 -3.0   Infinity  Infinity           Infinity            
 -2.8   0.129801  0.129801291661717  0.129801291661716124
 -2.6  -0.118012 -0.118011632805398 -0.118011632805397466
 -2.4   0.102583  0.102583615968277  0.102583615968277485
 -2.2   0.790718  0.790718673675712  0.790718673675712693
 -2.0   Infinity  Infinity           Infinity            
 -1.8   1.159420  1.159420708842875  1.159420708842875209
 -1.6   0.837500  0.837499812222039  0.837499812222038934
 -1.4   0.978052  0.978052353322177  0.978052353322177309
 -1.2   1.579176  1.579176034039983  1.579176034039983818
 -1.0   Infinity  Infinity           Infinity            
 -0.8   1.747207  1.747207373744994  1.747207373744994372
 -0.6   1.307503  1.307503441467774  1.307503441467774444
 -0.4   1.314525  1.314524589943390  1.314524589943389989
 -0.2   1.761498  1.761497590833937  1.761497590833937973
  0.0   Infinity  Infinity           Infinity            
  0.2   1.524064  1.524063822430785  1.524063822430784418
  0.4   0.796678  0.796677817701784  0.796677817701783678
  0.6   0.398234  0.398233858069233  0.398233858069234913
  0.8   0.152060  0.152059678399837  0.152059678399837531
  1.0   0.000000  0.000000000000000  0.000000000000000000
  1.2  -0.085374 -0.085374090003317 -0.085374090003315885
  1.4  -0.119613 -0.119612914172368 -0.119612914172371325
  1.6  -0.112592 -0.112591765696759 -0.112591765696755795
  1.8  -0.071084 -0.071083872914375 -0.071083872914372169
  2.0   0.000000  0.000000000000000  0.000000000000000000
  2.2   0.096947  0.096947466790638  0.096947466790638825
  2.4   0.216859  0.216859322448844  0.216859322448841542
  2.6   0.357412  0.357411863548979  0.357411863548979815
  2.8   0.516703  0.516702791987743  0.516702791987746676
  3.0   0.693147  0.693147180559945  0.693147180559945286
  3.2   0.885405  0.885404827154909  0.885404827154909075
  3.4   1.092328  1.092328059802743  1.092328059802741440
  3.6   1.312923  1.312923308576412  1.312923308576416211
  3.8   1.546322  1.546322209168903  1.546322209168904853
  4.0   1.791759  1.791759469228055  1.791759469228054957
  4.2   2.048555  2.048555636960590  2.048555636960589994
  4.4   2.316104  2.316103491424858  2.316103491424857727
  4.6   2.593857  2.593857154038478  2.593857154038479926
  4.8   2.881324  2.881323275901241  2.881323275901244892
  5.0   3.178054  3.178053830347946  3.178053830347945752
