GLUE-Math with POSIX standard
Test Suite:
  Sine Integral

 x     Si(x)
 0  0.0000000000
 1  0.9460830704
 2  1.6054129768
 3  1.8486525280
 4  1.7582031389
 5  1.5499312449
 6  1.4246875513
 7  1.4545966142
 8  1.5741868217
 9  1.6650400758
10  1.6583475942
11  1.5783068069
12  1.5049712415
13  1.4993617229
14  1.5562110501
15  1.6181944437
16  1.6313022683
17  1.5901364159
18  1.5366080969
19  1.5186300317
20  1.5482417010
21  1.5948909681
22  1.6160837366
23  1.5954594323
24  1.5547386917
25  1.5314825510
26  1.5448688630
27  1.5802856840
28  1.6047457383
29  1.5973145150
30  1.5667565400
31  1.5417670373
32  1.5442417771
33  1.5702846982
34  1.5952561852
35  1.5969222045
36  1.5751072096
37  1.5506074710
38  1.5454929372
39  1.5633370577
40  1.5869851194
41  1.5949433514
42  1.5808268837
43  1.5583489966
44  1.5480868313
45  1.5587150009
46  1.5797576903
47  1.5918350438
48  1.5844537330
49  1.5650631167
50  1.5516170725
