GLUE-Math with POSIX standard
Test Suite:
  Sine and Arcsine

for long double
  x    自家製asin         左のsin
-1.00  -1.57079632679489662  -1
-0.90  -1.11976951499863419  -0.9
-0.80  -0.92729521800161223  -0.8
-0.70  -0.77539749661075306  -0.7
-0.60  -0.64350110879328439  -0.6
-0.50  -0.52359877559829887  -0.5
-0.40  -0.41151684606748802  -0.4
-0.30  -0.30469265401539751  -0.3
-0.20  -0.20135792079033079  -0.2
-0.10  -0.10016742116155980  -0.1
 0.00   0.00000000000000000   0
 0.10   0.10016742116155980   0.1
 0.20   0.20135792079033079   0.2
 0.30   0.30469265401539751   0.3
 0.40   0.41151684606748802   0.4
 0.50   0.52359877559829887   0.5
 0.60   0.64350110879328439   0.6
 0.70   0.77539749661075306   0.7
 0.80   0.92729521800161223   0.8
 0.90   1.11976951499863419   0.9
 1.00   1.57079632679489662   1

for double
  x    自家製asin      左のsin
-1.00  -1.57079632679490  -1
-0.90  -1.11976951499863  -0.9
-0.80  -0.92729521800161  -0.8
-0.70  -0.77539749661075  -0.7
-0.60  -0.64350110879328  -0.6
-0.50  -0.52359877559830  -0.5
-0.40  -0.41151684606749  -0.4
-0.30  -0.30469265401540  -0.3
-0.20  -0.20135792079033  -0.2
-0.10  -0.10016742116156  -0.1
 0.00   0.00000000000000   0
 0.10   0.10016742116156   0.1
 0.20   0.20135792079033   0.2
 0.30   0.30469265401540   0.3
 0.40   0.41151684606749   0.4
 0.50   0.52359877559830   0.5
 0.60   0.64350110879328   0.6
 0.70   0.77539749661075   0.7
 0.80   0.92729521800161   0.8
 0.90   1.11976951499863   0.9
 1.00   1.57079632679490   1

for float
  x    自家製asin  左のsin
-1.00  -1.57080  -1
-0.90  -1.11977  -0.9
-0.80  -0.92730  -0.8
-0.70  -0.77540  -0.7
-0.60  -0.64350  -0.6
-0.50  -0.52360  -0.5
-0.40  -0.41152  -0.4
-0.30  -0.30469  -0.3
-0.20  -0.20136  -0.2
-0.10  -0.10017  -0.1
 0.00   0.00000   0
 0.10   0.10017   0.1
 0.20   0.20136   0.2
 0.30   0.30469   0.3
 0.40   0.41152   0.4
 0.50   0.52360   0.5
 0.60   0.64350   0.6
 0.70   0.77540   0.7
 0.80   0.92730   0.8
 0.90   1.11977   0.9
 1.00   1.57080   1
