GLUE-Math with POSIX standard
Test Suite:
  Tangent and Arctangent

for long double
  x    自家製atan         左のtan
 -inf  -1.57079632679489662  -inf
-2.50  -1.19028994968253173  -2.5
-2.25  -1.15257199721566752  -2.25
-2.00  -1.10714871779409050  -2
-1.75  -1.05165021254837367  -1.75
-1.50  -0.98279372324732907  -1.5
-1.25  -0.89605538457134396  -1.25
-1.00  -0.78539816339744831  -1
-0.75  -0.64350110879328439  -0.75
-0.50  -0.46364760900080612  -0.5
-0.25  -0.24497866312686415  -0.25
 0.00   0.00000000000000000   0
 0.25   0.24497866312686415   0.25
 0.50   0.46364760900080612   0.5
 0.75   0.64350110879328439   0.75
 1.00   0.78539816339744831   1
 1.25   0.89605538457134396   1.25
 1.50   0.98279372324732907   1.5
 1.75   1.05165021254837367   1.75
 2.00   1.10714871779409050   2
 2.25   1.15257199721566752   2.25
 2.50   1.19028994968253173   2.5
  inf   1.57079632679489662   inf

for double
  x    自家製atan      左のtan
 -inf  -1.57079632679490  -inf
-2.50  -1.19028994968253  -2.5
-2.25  -1.15257199721567  -2.25
-2.00  -1.10714871779409  -2
-1.75  -1.05165021254837  -1.75
-1.50  -0.98279372324733  -1.5
-1.25  -0.89605538457134  -1.25
-1.00  -0.78539816339745  -1
-0.75  -0.64350110879328  -0.75
-0.50  -0.46364760900081  -0.5
-0.25  -0.24497866312686  -0.25
 0.00   0.00000000000000   0
 0.25   0.24497866312686   0.25
 0.50   0.46364760900081   0.5
 0.75   0.64350110879328   0.75
 1.00   0.78539816339745   1
 1.25   0.89605538457134   1.25
 1.50   0.98279372324733   1.5
 1.75   1.05165021254837   1.75
 2.00   1.10714871779409   2
 2.25   1.15257199721567   2.25
 2.50   1.19028994968253   2.5
  inf   1.57079632679490   inf

for float
  x    自家製atan  左のtan
 -inf  -1.57080  -inf
-2.50  -1.19029  -2.5
-2.25  -1.15257  -2.25
-2.00  -1.10715  -2
-1.75  -1.05165  -1.75
-1.50  -0.98279  -1.5
-1.25  -0.89606  -1.25
-1.00  -0.78540  -1
-0.75  -0.64350  -0.75
-0.50  -0.46365  -0.5
-0.25  -0.24498  -0.25
 0.00   0.00000   0
 0.25   0.24498   0.25
 0.50   0.46365   0.5
 0.75   0.64350   0.75
 1.00   0.78540   1
 1.25   0.89606   1.25
 1.50   0.98279   1.5
 1.75   1.05165   1.75
 2.00   1.10715   2
 2.25   1.15257   2.25
 2.50   1.19029   2.5
  inf   1.57080   inf
